Planet Name,Host Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Equilibrium Temperature [K],Insolation Flux [Earth Flux],Planet Density [g/cm**3],Eccentricity,Impact Parameter,Ratio of Semi-Major Axis to Stellar Radius,habitability_score
TOI-2406 b,TOI-2406,1,1,Transit,2021,3.0766891,2.86,15.6,0.04908,449.0,6.69,27.4,0.17,0.09,23.95,0.39751432980074763
TOI-2120 b,TOI-2120,1,1,Transit,2024,5.7998164,2.122,6.8,0.0214,384.0,3.61,20.6,0.32,0.55,33.21,0.3920990905567863
TOI-4603 b,TOI-4603,1,1,Transit,2023,7.24599,11.68,4096.80817,12.89,1677.0,1192.0,14.1,0.325,0.9521,6.97,0.2802643875846226
TOI-1448 b,TOI-1448,1,1,Transit,2024,8.112245,2.749,19.5,0.06135,426.0,5.45,9.51,0.36,0.21,32.1,0.46511822760799343
TOI-1075 b,TOI-1075,1,1,Transit,2022,0.6047328,1.791,9.95,0.03131,1323.0,509.2,9.32,0.0,0.4,4.4,0.43426315783453245
GPX-1 b,GPX-1,1,1,Transit,2021,1.744579,16.477,6261.21962,19.7,2300.0,4650.0,8.22242,0.0,0.82,4.67,0.41142850107165446
K2-216 b,K2-216,1,1,Transit,2018,2.1748,1.75,8.0,0.02517,1103.0,248.0,8.2,0.0,0.45,8.3,0.45087526309249565
HD 20329 b,HD 20329,1,1,Transit,2022,0.926118,1.72,7.42,0.02335,2141.0,3474.0,8.06,0.0,0.826,3.42,0.41400774962568676
TOI-782 b,TOI-782,1,1,Transit,2024,8.0240015,2.734,19.1,0.0601,435.0,5.91,7.99,0.19,0.46,30.07,0.4877637738056959
K2-66 b,K2-66,1,1,Transit,2016,5.06963,2.49,21.3,0.06702,1372.0,840.0,7.8,0.0,0.47,7.874,0.45641822064429177
TOI-172 b,TOI-172,1,1,Transit,2019,9.47725,10.817,1722.6386,5.42,1198.0,299.0,7.53,0.3806,0.22,11.09,0.43200100553478843
Kepler-553 c,Kepler-553,1,2,Transit,2016,328.24017,11.579,2129.45033,6.7,251.0,0.59,7.53,0.346,0.751,214.8,0.7040224721089803
HD 23472 e,HD 23472,1,5,Transit,2022,7.90754,0.818,0.72,0.00227,723.0,46.7,7.5,0.07,0.5,21.0,0.4595121690933301
HD 23472 d,HD 23472,1,5,Transit,2022,3.97664,0.75,0.55,0.00173,909.0,117.0,7.5,0.07,0.47,13.29,0.45655007089519095
K2-292 b,K2-292,1,1,Transit,2019,16.9841,2.63,24.5,0.07709,795.0,67.0,7.4,0.04,0.68,25.9,0.4471795077163391
GJ 3929 b,GJ 3929,1,2,Transit,2022,2.616235,1.09,1.75,0.00551,568.0,17.3,7.3,0.0,0.11,16.8,0.5259792147745815
Wolf 327 b,Wolf 327,1,1,Transit,2024,0.5734745,1.24,2.53,0.00796,996.0,233.9,7.24,0.0,0.47,5.3,0.47069475169920666
TOI-815 c,TOI-815,2,2,Transit,2024,34.976145,2.62,23.5,0.07394,469.0,8.03,7.2,0.22,0.839,53.9,0.45375446603159947
K2-199 b,K2-199,1,2,Transit,2018,3.2253993,1.73,6.9,0.02171,913.0,116.2,7.2,0.02,0.25,12.07,0.4934975252264051
GJ 486 b,GJ 486,1,1,Radial Velocity,2021,1.46712127,1.289,2.77,0.00872,696.0,39.2,6.66,0.00086,0.12,11.38,0.5306702451695332
HATS-70 b,HATS-70,1,1,Transit,2019,1.8882378,15.513,4100.007,12.9,2730.0,9110.0,6.64,0.18,0.24,4.17,0.4822276866157002
WASP-18 b,WASP-18,2,2,Transit,2009,0.94145223,13.899,3241.84975,10.2,2429.0,5805.0,6.6,0.0051,0.36,3.48,0.4976193431637401
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,3.5951,1.95,8.75,0.02753,1616.0,1037.0,6.39,0.06,0.42,5.93,0.4909574825958187
TOI-2379 b,TOI-2379,1,1,Transit,2024,5.4693827,11.725,1830.69162,5.76,624.0,25.3,6.21,0.342,0.242,18.17,0.4884626488272352
HD 260655 b,HD 260655,1,2,Transit,2022,2.76953,1.24,2.14,0.00673,709.0,42.2,6.2,0.039,0.665,14.43,0.4857255126149723
HD 23472 b,HD 23472,1,5,Transit,2019,17.667087,2.0,8.32,0.02618,543.0,16.0,6.15,0.072,0.69,37.1,0.4981406945332497
GJ 1132 b,GJ 1132,1,2,Transit,2015,1.62892911,1.192,1.83705,0.00578,584.0,19.3,5.97,0.0118,0.504,15.26,0.5244612936577617
LTT 3780 b,LTT 3780,2,2,Transit,2020,0.76837931,1.325,2.46,0.00774,903.0,111.0,5.8,0.0,0.462,6.79,0.5206564564777438
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,11.57797,1.664,4.72,0.01485,905.0,111.6,5.62389,0.0,0.52,19.6,0.524655295229469
K2-182 b,K2-182,1,1,Transit,2018,4.7369683,2.69,20.0,0.06293,969.0,146.9,5.6,0.04,0.2,14.23,0.5499316400566683
LTT 1445 A c,LTT 1445 A,3,2,Transit,2022,3.1239035,1.147,1.54,0.00485,508.0,10.9,5.57,0.223,0.937,21.56,0.4812260593596246
Qatar-4 b,Qatar-4,1,1,Transit,2017,1.8053564,12.722,1938.763,6.1,1385.0,614.0,5.1,0.0,0.31,7.11,0.5285168095928074
GJ 3473 b,GJ 3473,2,2,Transit,2020,1.1980035,1.264,1.86,0.00585,773.0,59.4,5.03,0.0,0.336,9.39,0.5289332208251725
TOI-500 b,TOI-500,1,4,Transit,2022,0.548177,1.166,1.42,0.00447,1617.0,1138.0,4.89,0.063,0.53,3.769,0.48823527259521926
Kepler-1514 b,Kepler-1514,1,2,Transit,2016,217.83184,12.42,1678.1424,5.28,388.0,3.23,4.82,0.401,0.169,125.6,0.6094326760034557
HD 260655 c,HD 260655,1,2,Transit,2022,5.70588,1.533,3.09,0.00972,557.0,16.1,4.7,0.038,0.89,23.37,0.47430842082317726
L 98-59 c,L 98-59,1,4,Transit,2019,3.6906777,1.385,2.22,0.00698,553.0,12.8,4.57,0.103,0.601,19.0,0.49382679475753977
TOI-1416 b,TOI-1416,1,1,Transit,2023,1.0697568,1.62,3.48,0.01095,1517.0,883.0,4.5,0.0,0.39,5.14,0.49857673984374573
TIC 393818343 b,TIC 393818343,1,1,Transit,2024,16.24921,12.184,1379.37529,4.34,806.0,2.28,4.22,0.6058,0.119,25.6,0.5830600758223013
TOI-561 e,TOI-561,1,4,Transit,2020,77.03,2.55,12.6,0.03964,415.0,4.96,4.2,0.079,0.28,83.22,0.5756924310865662
Kepler-1704 b,Kepler-1704,1,1,Transit,2013,988.88112,11.949,1322.16617,4.16,254.0,0.34,4.07,0.92,0.37,256.4,0.6098248435441449
Qatar-3 b,Qatar-3,1,1,Transit,2017,2.5079204,12.285,1369.8473,4.31,1681.0,1330.0,4.0,0.0,0.35,6.39,0.4876195763495713
TOI-733 b,TOI-733,1,1,Transit,2023,4.884765,1.992,5.72,0.018,1056.0,207.1,3.98,0.046,0.29,14.0,0.4889816569264873
HD 95338 b,HD 95338,1,1,Radial Velocity,2020,55.087,3.89,42.44,0.13353,385.0,7.42,3.98,0.197,0.43,64.676,0.508565227674706
Qatar-5 b,Qatar-5,1,1,Transit,2017,2.8792319,12.408,1373.0256,4.32,1415.0,669.0,3.95,0.0,0.18,8.27,0.5038312375025495
TOI-1052 b,TOI-1052,1,2,Transit,2023,9.139703,2.87,16.9,0.05317,1135.0,246.0,3.93,0.18,0.808,15.51,0.4157169543757064
KELT-24 b,KELT-24,2,1,Transit,2019,5.55149296,12.711,1458.83239,4.59,1391.0,624.0,3.9,0.0319,0.061,10.67,0.5100534000571201
HD 73583 c,HD 73583,1,2,Transit,2022,18.87974,2.39,9.7,0.03052,498.0,10.2,3.88,0.08,0.21,41.11,0.5271692308490163
TOI-1470 b,TOI-1470,1,2,Transit,2023,2.527093,2.18,7.32,0.02303,734.0,46.3,3.86,0.3,0.59,13.05,0.4232950671702441
TOI-561 b,TOI-561,1,4,Transit,2020,0.4465688,1.425,2.0,0.00629,2310.0,4745.0,3.8,0.0,0.13,2.685,0.5033344921059637
K2-3 c,K2-3,1,3,Transit,2015,24.646729,1.582,2.68,0.00843,372.0,3.17,3.7,0.048,0.14,53.5,0.6130505252644419
L 98-59 b,L 98-59,1,4,Transit,2019,2.2531136,0.85,0.4,0.00126,627.0,24.7,3.6,0.103,0.53,15.0,0.45907778412886574
Kepler-138 d,Kepler-138,1,4,Transit,2014,23.0923,1.51,2.1,0.00661,345.0,3.4,3.6,0.01,0.87,51.8,0.5353604194159629
Kepler-138 c,Kepler-138,1,4,Transit,2014,13.7815,1.51,2.3,0.00724,410.0,6.8,3.6,0.017,0.6,37.0,0.5066285572071261
HIP 116454 b,HIP 116454,2,1,Transit,2014,9.1004157,2.469,9.7,0.03052,753.0,51.29,3.53,0.215,0.34,22.46,0.4536191614039544
