Planet,Star,Star Count,Planet Count,Orbit Time (days),Planet Size (Earths),Planet Mass (Earths),Planet Density,Orbit Shape,habitability_score,Planet Temp (C),Information,description_english,description_spanish,description_french,description_german,description_hindi,description_japanese
TOI-2406 b,TOI-2406,1,1,3.0766891,2.86,15.6,27.4,0.17,0.3975143298007476,175.85000000000002,"Planet: TOI-2406 b, Star: TOI-2406, Star Count: 1, Planet Count: 1, Orbit Time (days): 3.0766891, Planet Size (Earths): 2.86, Planet Mass (Earths): 15.6, Planet Temp (C): 175.85000000000002, Planet Density: 27.4, Orbit Shape: 0.17","Let's talk about TOI-2406 b! This planet is a super-Earth that orbits its star really quickly - in just over 3 days it completes one circle around its home star, TOI-2406. It's also scorching hot, with temperatures reaching up to 176°C (that's hotter than a oven!), making it unlikely to support life as we know it.","Hablemos de TOI-2406 b! Este planeta es un super-Tierra que orbita su estrella muy rápidamente - completa una órbita en menos de 3 días alrededor de su estrella hogar, TOI-2406. También está escaldante caliente, con temperaturas que llegan hasta los 176°C (más calientes que un horno!), lo que la hace poco probable para soportar vida como la conocemos.","Parlez-nous de TOI-2406 b ! Ce planète est une super-Terre qui orbite rapidement autour de son étoile - en juste plus de 3 jours, elle effectue un tour complet autour de l'étoile mère TOI-2406. C'est également incroyablement chaud, avec des températures atteignant jusqu'à 176 °C (c'est encore plus chaud qu'un four !), ce qui rend peu probable la présence de vie comme nous la connaissons.","Lassen wir's über TOI-2406 b gehen! Dieser Planet ist ein Super-Erde, die ihre Sonne in weniger als drei Tagen einmal umrundet - nämlich SOI-2406. Außerdem ist es sehr heiß, mit Temperaturen von bis zu 176°C (das ist heißer als ein Backofen!), was es unwahrscheinlich macht, dass dort Leben existieren kann wie wir es kennen.","TOI-2406 b के बारे में बात करें, यह एक सुपर अर्थ है जो अपनी तारिका के चारों ओर बहुत जल्दी घूमता है - बस 3 दिनों से अधिक समय में वह एक गोलाकार पथ पर इसके घरेलू तारिका, TOI-2406 को पूरा करता है। यह भी बहुत गर्म है, तापमान 176°C तक पहुँच जाता है (यह गर्मीगर्दी की तरह है!), इसे जीवन के रूप में समर्थन करने की संभावना नहीं है।",TOI-2406 bについて話しましょう。 この惑星は超地球です。この星を一周するのに、わずか3日弱で完了します。 TOI-2406という名前の星を回っているので、この星に戻って「TOI-2406」という名前をつけたのです。 さらに、この星が放つ熱さのために、176°C以上になっていることがわかっています。この温度は、ovenの中ではとてつもない熱さです。 このような高温のため、生息可能な生物としての可能性は低いものと思われます。
TOI-2120 b,TOI-2120,1,1,5.7998164,2.122,6.8,20.6,0.32,0.3920990905567863,110.85000000000002,"Planet: TOI-2120 b, Star: TOI-2120, Star Count: 1, Planet Count: 1, Orbit Time (days): 5.7998164, Planet Size (Earths): 2.122, Planet Mass (Earths): 6.8, Planet Temp (C): 110.85000000000002, Planet Density: 20.6, Orbit Shape: 0.32","Hey there, young space explorer! Let me tell you about TOI-2120 b, a pretty cool planet that's like 2 times bigger than Earth and orbits its star every 5.8 days! Imagine a hot summer day on our planet, but on TOI-2120 b it's even hotter, with temperatures reaching up to 111°C - that's almost as hot as a freshly baked pizza!","¡Hola ahí, joven explorador espacial! Te voy a contar sobre el planeta TOI-2120 b, un lugar bastante cool que es como dos veces más grande que la Tierra y gira en torno a su estrella cada 5.8 días. Imagínate una tarde de verano calurosa en nuestro planeta, pero en TOI-2120 b es aún más caliente, con temperaturas que llegan hasta los 111°C - ¡que son casi tan calurosas como un pizza recién salido del horno!","Salut, jeune explorateur de l'espace ! Je veux te parler d' TOI-2120 b, une planète plutôt cool qui est environ deux fois plus grosse que la Terre et orbite autour de sa étoile toutes les 5,8 jours ! Imagine un jour d'été torride sur notre planète, mais sur TOI-2120 b il fait encore plus chaud, avec des températures allant jusqu'à 111°C - c'est presque aussi chaud qu'un pizza fraîchement sortie du four !","Hallo daheim, junger Weltraum-Entdecker! Ich erzähle dir von TOI-2120 b, einem ziemlich coolen Planeten, der ungefähr zweimal so groß ist wie unsere Erde und um seinen Stern in 5,8 Tagen kreist! Stell dir vor, ein heißer Sommerstag auf unserem Planeten - aber auf TOI-2120 b ist es noch viel heißer, mit Temperaturen von bis zu 111°C – fast so heiß wie frisch gebackener Pizza!","यार खगोलीय शोधक! मुझे बताऊं तो आपको, टीओआई-२१२० बी के बारे, एक ऐसा ग्रह जो पृथ्वी से दोगुना बड़ा है और ५.८ दिनों में अपने तारे की परिक्रमा करता है। कल्पना करें, आप अपने घर में गर्मियों के दिनों में बैठे होंगे, लेकिन टीओआई-२१२० बी पर तापमान १११ डिग्री सेल्सियस तक पहुँच जाता है, लगभग एक ताज़ा बनाया पिज़्ज़ा जैसा!","Hey there, young space explorer! Let me tell you about TOI-2120 b, a pretty cool planet that's like 2 times bigger than Earth and orbits its star every 5.8 days!

Imagine a hot summer day on our planet, but on TOI-2120 b it's even hotter, with temperatures reaching up to 111°C - that's almost as hot as a freshly baked pizza!

becomes:

少年宇宙探究者！TOI-2120bという星の周りを2倍大きい地球で回っている惑星について話そう。1週間あたり5.8日ぐらいで、自転する。実際にこの天体が見える星の温度が高い日を想像してみよう。そしてその星の周りにTOI-2120bがまわっているとき、その温度は地球よりもさらにやかんである。それが111°Cである。これは新たな焼きたてピザの熱さに等しい。"
TOI-4603 b,TOI-4603,1,1,7.24599,11.68,4096.80817,14.1,0.325,0.2802643875846226,1403.85,"Planet: TOI-4603 b, Star: TOI-4603, Star Count: 1, Planet Count: 1, Orbit Time (days): 7.24599, Planet Size (Earths): 11.68, Planet Mass (Earths): 4096.80817, Planet Temp (C): 1403.85, Planet Density: 14.1, Orbit Shape: 0.325","""Imagine a super hot planet called TOI-4603 b that's about 11 times bigger than Earth! This scorching world orbits its star in just under a week and has surface temperatures that would melt steel - it's way too toasty for any living thing. Despite the extreme heat, scientists are still curious about this massive, dense planet that's like a cosmic behemoth!""","Imagina un planeta cálido extremo llamado TOI-4603 b que es aproximadamente 11 veces más grande que la Tierra! Este mundo abrasador gira alrededor de su estrella en poco menos de una semana y tiene temperaturas superficiales que fundirían acero - ¡es demasiado caluroso para cualquier forma de vida. A pesar del calor extremo, los científicos siguen sintiéndose intrigados por este planeta masivo y denso, como un gigante cósmico.","Imaginez une planète incroyablement chaude appelée TOI-4603 b, qui fait 11 fois la taille de la Terre ! Ce monde en feu orbite autour de sa étoile en moins d'une semaine et possède des températures de surface qui fondraient le métal - il est trop chaud pour tout être vivant. Malgré la chaleur extrême, les scientifiques sont toujours curieux à l'égard de ce planétaire gigantesque et dense, qui ressemble à un géant cosmique !","Bilder können Sie sich machen, dass es einen super heißen Planeten namens TOI-4603 b gibt, der ungefähr 11-mal so groß ist wie die Erde! Diese sengende Welt kreist um ihre Sonne in höchstens einer Woche und hat Oberflächentemperatur, die Stahl zum Schmelzen bringen würde - für alles Lebendige ist es viel zu heiß. Trotz der extremen Hitze interessieren sich die Wissenschaftler noch immer für diesen gewaltigen, dichten Planeten, der wie ein kosmisches Riesenheimchen wirkt!","मान लीजिए एक बहुत ही गर्म ग्रह TOI-4603 बी जो पृथ्वी से 11 गुना बड़ा है, जिसका आकार भू-तल पर धातु को पिघला देगा। यह विशाल और घना ग्रह अपने तारे की परिक्रमा करीब एक सप्ताह में समाप्त करता है और उसकी सतह पर तापमान इतना अधिक होता है कि वहां जीवित चीजें नहीं बच सकतीं।",超熱の惑星TOI-4603 bが想像できます。地球より約11倍大きく、その星の周りを1週間以内で回転するこの世界は、表面温度では鋼鉄まで溶けるくらいとても熱いです。このあまりにも暑すぎる世界には生き物なんて存在できないはずですが、一方で科学者たちは、この膨大で密集した巨人のような惑星の謎についてまだ気になるようです。
TOI-1448 b,TOI-1448,1,1,8.112245,2.749,19.5,9.51,0.36,0.4651182276079934,152.85000000000002,"Planet: TOI-1448 b, Star: TOI-1448, Star Count: 1, Planet Count: 1, Orbit Time (days): 8.112245, Planet Size (Earths): 2.749, Planet Mass (Earths): 19.5, Planet Temp (C): 152.85000000000002, Planet Density: 9.51, Orbit Shape: 0.36","Here's an explanation of TOI-1448 b that a kid between ages 12 to 16 might enjoy:

Meet TOI-1448 b, a super-sized planet that orbits its star in just over 8 days! This giant world is about 2.7 times bigger than Earth and has a mass as heavy as 19.5 Earths - it's basically a gas giant in disguise! With temperatures soaring up to 153°C (that's way hotter than your room!), TOI-1448 b would be an extreme environment, not exactly the kind of place you'd want to visit for a vacation!","Conoce a TOI-1448 b, un gigante planetario que gira en torno de su estrella en apenas más de 8 días. Este mundo hinchado es aproximadamente 2.7 veces mayor que la Tierra y tiene una masa equivalente a 19.5 masas terrestres - ¡es básicamente un gas gigante disfrazado! Con temperaturas que pueden llegar hasta los 153°C (¡mucho más caluroso que tu habitación!), TOI-1448 b sería un entorno extremo, justo el tipo de lugar al que no te gustaría ir en vacaciones.","Voici une explication de TOI-1448 b qu'un jeune entre 12 et 16 ans peut apprécier :

Réveillez-vous à TOI-1448 b, un gigantesque planète qui orbite autour de sa étoile en moins de 8 jours ! Ce monde géant mesure environ 2,7 fois plus grand que la Terre et pèse le même poids que 19,5 Terres - c'est pratiquement une géante gazeuse déguisée ! Les températures atteignent des sommets de 153°C (c'est beaucoup plus chaud que votre chambre !) , TOI-1448 b serait un environnement extrême, et ce n'est pas exactement le genre de lieu où vous voudriez aller pour une vacance !","Hier ist eine Erklärung von TOI-1448 b, die ein Kind zwischen 12 und 16 Jahren interessieren könnte:

Begegnen Sie TOI-1448 b, einem gigantischen Planeten, der seine Sonne in weniger als 8 Tagen umkreist! Dieser Riese ist etwa 2,7 Mal so groß wie die Erde und hat eine Masse von 19,5 Erdmassen – es handelt sich also im Grunde um einen Gasriesen! Mit Temperaturen, die bis zu 153°C klettern (das ist viel heißer als dein Zimmer!), wäre TOI-1448 b ein Extremumgebung, nicht gerade der Ort, an dem du gerne Urlaub machen würdest!","यह है टीओआई - १४४८ बी, एक ऐसा ग्रह जो अपने तारे की परिक्रमा करीब-किरबा ८ दिनों में ही पूरी कर लेता है! यह विशाल पृथ्वी से लगभग २.७ गुना बड़ा और पृथ्वी के बराबर जितना भारवान है, यानि यह एक असली गैसीय ग्रह लगता है! इस ग्रह पर तापमान करीब-किरबा १५३ डिग्री सेल्सियस पहुँच सकता है, जो कि आपके कमरे से बहुत ज्यादा गर्म होगा और यह एक अति-कठिन वातावरण होगा, जहां आप छुट्टी मनाने नहीं जाएंगे!",TOI-1448bは、約8日でその星を1周する超大きな惑星だ！ これのサイズは地球の2.7倍、大きさは19.5個の地球と同じ重量で、これも実質的なガス巨星だぞ！ 温度が高い152°C（あなたの部屋より熱い！）で、このTOI-1448bは激しい環境をしているんだ！ 休みに訪れたくないような場所だな！
TOI-1075 b,TOI-1075,1,1,0.6047328,1.791,9.95,9.32,0.0,0.4342631578345324,1049.85,"Planet: TOI-1075 b, Star: TOI-1075, Star Count: 1, Planet Count: 1, Orbit Time (days): 0.6047328, Planet Size (Earths): 1.791, Planet Mass (Earths): 9.95, Planet Temp (C): 1049.85, Planet Density: 9.32, Orbit Shape: 0.0","Hey there, young space fan! Meet TOI-1075 b, a planet that's just like Earth in size, but with some pretty extreme features - it orbits its star every 10 hours and has surface temperatures hot enough to melt metal! It's also super dense, which means it's got a lot of mass packed into a small space.","Hola allí, joven fanático del espacio! ¡Conoce al planeta TOI-1075 b, que es tan grande como la Tierra, pero con algunas características extremas - gira alrededor de su estrella cada 10 horas y tiene temperaturas superficiales lo suficientemente calientes para fundir metal. ¡También es super denso, lo que significa que lleva una gran cantidad de masa en un espacio pequeño!","Bonjour, petit fan de l'espace ! Rencontre TOI-1075 b, une planète qui ressemble à la Terre en taille, mais avec des caractéristiques extrêmes - elle orbite autour de sa étoile toutes les 10 heures et a des températures de surface suffisamment chaudes pour fondre le métal ! C'est aussi très dense, ce qui signifie qu'elle comporte une grande quantité de masse dans un petit espace.","Hey da, junger Raumfahrer! Besuche TOI-1075 b, einen Planeten, der so groß ist wie die Erde, aber mit einigen extremen Merkmalen - er umrundet seine Sonne alle 10 Stunden und hat Oberflächentemperaturen, die heiß genug sind, um Metall zu schmelzen! Außerdem ist er sehr dicht, was bedeutet, dass viel Masse in einem kleinen Raum zusammengepackt ist.","यार स्पेस फैन! यहाँ टीओआई-1075 बी है, एक ग्रह जो आकार में पृथ्वी के बराबर है, लेकिन कुछ बहुत ही विलक्षण विशेषताएँ हैं - यह अपने तारे की परिक्रमा हर 10 घंटे में करता है और सतहीय तापमान इतने गर्म हैं कि धातु पिघल सकती है! इसके अलावा, यह बहुत ज्यादाघना भी है, जिसका अर्थ है कि इसमें बहुत सारी मात्रा में द्रव्यमान एक छोटी जगह में समाया हुआ है.","トイ1075bは、太陽から10時間で一周し、
表面温度が金属を溶かすほど高く、
大密度を持つ、地球サイズの惑星です。"
GPX-1 b,GPX-1,1,1,1.744579,16.477,6261.21962,8.22242,0.0,0.4114285010716544,2026.85,"Planet: GPX-1 b, Star: GPX-1, Star Count: 1, Planet Count: 1, Orbit Time (days): 1.744579, Planet Size (Earths): 16.477, Planet Mass (Earths): 6261.21962, Planet Temp (C): 2026.85, Planet Density: 8.22242, Orbit Shape: 0.0","Here's a fun explanation of GPX-1 b for a kid:

Imagine a huge planet called GPX-1 b that's about 16 times bigger than Earth! This giant world orbits a star so closely that it completes one lap in just over 2 days, which means it gets super hot with temperatures soaring to a scorching 2026°C. That's way hotter than the hottest fire on our planet - GPX-1 b is like a fiery ball of gas and rock!","Imagina un planeta gigante llamado GPX-1 b que es más de 16 veces grande que la Tierra. Este mundo enorme gira alrededor de una estrella tan cercanamente que completa un círculo en solo unos días y medio, lo que significa que se vuelve extremadamente caliente con temperaturas que alcanzan los escaldantes 2026°C. ¡Es mucho más caliente que el fuego más intenso de nuestro planeta! GPX-1 b es como una pelota ardiente de gas y roca.","Voici une traduction amusante de GPX-1 b pour un jeune :

Imaginez un planète géant appelé GPX-1 b qui est environ 16 fois plus gros que la Terre ! Ce monde immense orbite autour d'une étoile si proche qu'il fait le tour en moins de 2 jours, ce qui signifie que cela devient incroyablement chaud avec des températures montant à une folle 2026°C. C'est bien plus chaud que la plus chaude flamme sur notre planète - GPX-1 b ressemble à un boulet de feu en gaz et en rocher !","Hier ist eine coole Erklärung für Kinder über GPX-1 b:

Stell dir vor, ein riesiger Planet namens GPX-1 b, der ungefähr 16 Mal größer als die Erde ist! Dieser Riesenmond dreht sich so nah an einer Stern um, dass er in nur mehr als zwei Tagen eine Umdrehung vollendet. Das bedeutet, dass es dort extrem heiß wird, mit Temperaturen, die bis zu 2026°C steigen. Das ist viel heißer als das heißeste Feuer auf unserer Erde - GPX-1 b ist also wie ein glühendes Ball aus Gas und Felsen!","क्या मजेदार है! जानते हैं? एक बड़ा ग्रह है, जिसका नाम है जीपीए็กซी-१ बी. यह १६ गुना बड़ा है भूमि से. ये इतनी करीब एक तारे को घूमता है कि वह हर दो दिनों में एक चक्कर पूरा करता है, जिसका मतलब है कि उस पर बहुत गर्मी रहती है और तापमान २०२६ डिग्री सेल्सियस तक पहुँच जाते हैं! भूमि पर सबसे ज्यादा आग जलाने पर भी यह तापमान जीपीए็กซी-१ बी के देखा जा सकता है! ये एक लावा और पत्थर का गोला हो गया है!","コマが16個積まれた地球のサイズの大きな惑星GPX-1 bについて、子供向けに楽しく説明する。

その巨大な世界は、太陽と非常に近く周回している。そのため、1週間に2日以上経つまでに1周してしまう。温度が高く、さほど熱い炎ではなかったはずの火事の最高記録も上回る約2060°Cと、地球にすでにある何千度もある炎よりもさらに非常に暑い熱さが出ている。

そのGPX-1 bはガスと岩石からできた炎のような球体のように考えられる。"
K2-216 b,K2-216,1,1,2.1748,1.75,8.0,8.2,0.0,0.4508752630924956,829.85,"Planet: K2-216 b, Star: K2-216, Star Count: 1, Planet Count: 1, Orbit Time (days): 2.1748, Planet Size (Earths): 1.75, Planet Mass (Earths): 8.0, Planet Temp (C): 829.85, Planet Density: 8.2, Orbit Shape: 0.0","Here's a description of the planet K2-216 b that a kid between 12 to 16 years old can understand:

Imagine a super-hot planet called K2-216 b that orbits really close to its star. This means it's about as big as Earth, but with temperatures scorching at over 800°C - that's hotter than the surface of lava! It's also incredibly dense and massive, making it a truly extreme world in our universe.","Imagina un planeta supercalor llamado K2-216 b que orbita muy cerca de su estrella. Esto significa que es tan grande como la Tierra, pero con temperaturas abrasadoras que superan los 800°C - eso es más caliente que la superficie del lodo en ebullición! También es increíblemente denso y masivo, lo que lo convierte en un mundo verdaderamente extrema de nuestro universo.","Imaginez une planète incroyablement chaude appelée K2-216 b qui orbite très proche de son étoile. Cela signifie qu'elle est aussi grande que la Terre, mais avec des températures infernales dépassant les 800°C - c'est plus chaud que la surface d'un volcan en éruption ! Elle est également incroyablement dense et massive, ce qui fait d'elle une véritable planète extrême dans notre univers.","Hier ist eine Beschreibung des Planeten K2-216 b, die ein Jugendlicher zwischen 12 und 16 Jahren verstehen kann:

Stell dir vor: Ein superheißer Planet namens K2-216 b, der sehr nahe an seinen Stern kreist. Das bedeutet, er ist so groß wie die Erde, aber mit Temperaturen von über 800 °C - das ist heißer als die Oberfläche von Lava! Außerdem ist er unglaublich dicht und massiv, was ihn zu einer extremen Welt in unserem Universum macht.","क्या आप जानते हैं कि एक ऐसी ग्रह है जिसका नाम K2-216 b है, यह बहुत गर्म होता है। यह अपने तारे के बहुत करीब घूमता है। इसका मतलब यह इतना बड़ा नहीं है लेकिन 800°C से भी अधिक तापमान होता है। इससे ज्यादा गर्मी तो तेज प्रवाहित होने वाले लावा की सतह पर भी नहीं होती। इसका आकार भी बहुत दense और भारी है, यह एक अद्वितीय ग्रह है जो हमारे सौरमंडल में है।",地球サイズほど大きい星「K2-216 b」が、太陽までとても近く回っている。つまり、その表面の温度は800°C以上で、溶岩よりも熱いのである。これにもかかわらず、この星は超重力で膨れ上がっており、宇宙に存在するとても珍しい世界だ。
HD 20329 b,HD 20329,1,1,0.926118,1.72,7.42,8.06,0.0,0.4140077496256867,1867.85,"Planet: HD 20329 b, Star: HD 20329, Star Count: 1, Planet Count: 1, Orbit Time (days): 0.926118, Planet Size (Earths): 1.72, Planet Mass (Earths): 7.42, Planet Temp (C): 1867.85, Planet Density: 8.06, Orbit Shape: 0.0","Get ready to meet HD 20329 b, a scorching hot planet that's similar in size to Earth but way more massive! It orbits around its star, which is basically on fire with temperatures reaching up to 1867°C - that's hotter than the hottest fire you've ever seen! This super-dense (8.06 grams per cubic centimeter) world is so close to its star that it completes an orbit in just under a day.","¡Prepárate para conocer a HD 20329 b, un planeta que es como una estrella de fuego en comparación con la Tierra! Es similar de tamaño al nuestro, pero ¡mucho más masivo! Orbita alrededor de su estrella, cuya superficie llega hasta los 1867°C - ¡temperaturas infernales! Este mundo denso (con una densidad de 8.06 gramos por centímetro cúbico) es tan cercano a su estrella que completa un órbita en menos de un día.","Préparez-vous à rencontrer HD 20329 b, une planète incroyablement chaude qui ressemble par sa taille à la Terre mais est nettement plus massive ! Elle orbite autour de son étoile, dont les températures sont presque folles, atteignant même 1867 °C – c'est plus chaud que le feu le plus intense que vous ayez jamais vu ! Ce monde super-dense (8,06 grammes par centimètre cube) est si proche de son étoile qu'il effectue un orbite en moins d'une journée.","Bereiteten Sie sich vor, HD 20329 b kennenzulernen, einen überheizten Planeten, der in Größe dem Erdball ähnelt, aber extrem massiv ist! Dieser Riesen zieht um sein Stern herum, der fast in Flammen steht und mit Temperaturen von bis zu 1867°C die höchste Wärme aufweist, die Sie je gesehen haben! Diese überdichtige (8,06 Gramm pro Kubikzentimeter) Welt ist so nahe an ihrem Stern, dass sie eine Umlaufbahn in nur weniger als einem Tag absolvieren kann.","जल्द ही पृथ्वी के आकार का एक ग्रह, एचडी 20329 बी से परिचित होंगे, जो अपने तारे के चारों ओर परिक्रमा करता है। यह इतना करीब है कि इसे लगभग एक दिन में अपने तारे की परिक्रमा करने के लिए पर्याप्त समय लगता है। इसके गुरुत्वाकर्षण 8.06 ग्राम प्रति घन सेंटीमीटर हैं।",HD 20329 b に出会う準備ができました。これは、地球に似た大きさを持つけれども、実際はエースの大きな惑星でした。 HD 20329 b は、その周りの恒星がまるで炎のように熱くて、1867°C まで高くなっています。これよりもさらに熱い炎を感じたことがないでしょうか。この圧倒的に密度の高い世界（8.06 g/cm³）はその恒星から非常に近いため、1 日以上でもなく回ることになります。
TOI-782 b,TOI-782,1,1,8.0240015,2.734,19.1,7.99,0.19,0.4877637738056959,161.85000000000002,"Planet: TOI-782 b, Star: TOI-782, Star Count: 1, Planet Count: 1, Orbit Time (days): 8.0240015, Planet Size (Earths): 2.734, Planet Mass (Earths): 19.1, Planet Temp (C): 161.85000000000002, Planet Density: 7.99, Orbit Shape: 0.19","Hey there! Meet TOI-782 b, a pretty cool planet that's about 2.7 times bigger than Earth. It orbits its star really fast, completing one lap in just over 8 days, which is much quicker than our year on Earth! This super-hot world has temperatures soaring up to 162°C, making it a scorching hot place that's definitely not suitable for life as we know it.","¡Hola! Conoce a TOI-782 b, un planeta bastante interesante que es más de dos veces y medio más grande que la Tierra. Orbita en torno a su estrella muy rápido, completando una órbita en poco menos de 8 días, lo cual es mucho más rápido que nuestro año en la Tierra! Este mundo supercaliente tiene temperaturas que alcanzan hasta los 162°C, convirtiéndolo en un lugar abrasador donde seguramente no haya vida como la conocemos.","Salut ! Découvrez TOI-782 b, une planète plutôt sympa qui fait 2,7 fois la taille de la Terre. Elle tourne autour de son étoile à grand bruit, effectuant un tour complet en moins de 8 jours, ce qui est beaucoup plus rapide qu'une année sur Terre ! Ce monde infernal a des températures qui atteignent jusqu'à 162°C, faisant de lui un endroit bien aride pour la vie telle que nous la connaissons.","Hallo da! Bekannt mach ich Ihnen TOI-782 b, ein ziemlich cooler Planet, der etwa 2,7 Mal so groß ist wie unsere Erde. Er umrundet seine Sonne in gerade mal über 8 Tagen, was viel schneller ist als unser Jahr auf der Erde! Diese superheiße Welt hat Temperaturen bis zu 162°C, also ein sehr brennend heißes Fleckchen Erde, das definitiv nicht zum Leben so wie wir es kennen geeignet ist.","हाय ! यहां मिलते हैं TOI-782 बी, एक दिलचस्प ग्रह जो पृथ्वी से लगभग 2.7 गुना बड़ा है। यह अपने तारे के चारों ओर बहुत जल्दी घूमता है, और यह एक साल में करीब से 8 दिन में एक चक्कर पूरा करता है जो कि हमारे पृथ्वी के वर्ष से बहुत कम समय लग सकता है।",キミとお話するには、この惑星を見つけた！これはTOI-782 bという名前の惑星で、地球より2.7倍大さいぞ。太陽に回りつけば8日ちょうど以上で、地球の年間の100倍ぐらい早い速度でめぐってくる。これはとてもうれしい惑星かもしれませんが、とても熱い世界だ。そしてこの世界では生命が存在することはほんとうになくてすまない。最高温度は162°Cですよ！
K2-66 b,K2-66,1,1,5.06963,2.49,21.3,7.8,0.0,0.4564182206442917,1098.85,"Planet: K2-66 b, Star: K2-66, Star Count: 1, Planet Count: 1, Orbit Time (days): 5.06963, Planet Size (Earths): 2.49, Planet Mass (Earths): 21.3, Planet Temp (C): 1098.85, Planet Density: 7.8, Orbit Shape: 0.0","Here's what it's like:

K2-66 b is a super-hot planet that orbits its star in just over 5 days! That means it's extremely close to the star and gets temperatures as hot as 1099°C - way hotter than the hottest oven on Earth. It's also really massive, about 21 times more massive than our own Earth, making it quite a behemoth in the galaxy!","Aquí tienes una idea de lo que es:

K2-66 b es un planeta supercaliente que orbita su estrella en solo más de cinco días. Esto significa que está extremadamente cerca de la estrella y recibe temperaturas tan cálidas como 1099°C - mucho más calientes que el horno más caliente de la Tierra. Además, es realmente masivo, unos 21 veces más masivo que nuestro propio planeta Tierra, lo que lo convierte en una verdadera bestia en la galaxia.","Voici ce que c'est comme :

K2-66 b est une planète superchaude qui tourne autour de son étoile en un peu plus de 5 jours ! Cela signifie qu'elle est extrêmement proche de l'étoile et subit des températures aussi chaudes que 1099°C - beaucoup plus chaudes que la fourchette la plus chaude sur Terre. Elle est également vraiment massive, environ 21 fois plus massive que notre propre Terre, ce qui en fait une véritable géante dans la galaxie !","Hier ist es wie das:

K2-66 b ist ein Hochtemperaturplaneta, der seine Sterne in nur mehr als fünf Tagen umkreist! Das bedeutet, dass er extrem nahe am Stern ist und Temperaturen von bis zu 1099°C erreicht - viel heißer als die heißeste Backofen auf der Erde. Es ist auch sehr massiv, etwa 21-mal so massiv wie unsere eigene Erde, sodass es ein echtes Riesenmonster im Universum ist!","ये क्या है:

के-२-६६ ब एक सुपर-ग्रामी ग्रह है, जो अपने तारे की परिक्रमा करीबन पाँच दिनों में होती है ! इसका अर्थ यह है कि यह तारे से बहुत करीब है और उसकी तापमान १०९९ डिग्री सेल्सियस तक पहुँच जाते हैं - पृथ्वी पर सबसे गर्म ओवन से भी बहुत अधिक । इसका आकार भी काफी बड़ा है, लगभग हमारी पृथ्वी के २१ गुना ज्यादा, जिससे यह गैलेक्सी में एक बड़ी शक्ति बनकर उभरा !",コクベンタル K2-66 b は、自らの恒星を約5日で一周します。そのため、恒星から非常に近い位置にあり、1099°Cの高温が到達することになります。地球のovenでもいちばん熱いのものよりもはるかに熱くなるでしょう。その他、この惑星は大変大きく、約21個星球並みに大きく、銀河の巨人がかります。
